Age,Height,Weight,Chest,Size
37,159.2,62.5,96.9,M
31,161.7,68.0,95.7,M
44,158.9,73.4,109.3,L
28,159.7,68.8,99.7,M
39,169.8,84.0,109.0,L
28,161.9,64.7,92.3,S
22,166.3,56.1,84.4,XS
44,160.6,73.5,101.1,M
45,160.9,73.3,99.7,M
26,169.6,60.5,94.3,S
24,172.3,72.2,93.4,S
50,174.8,90.8,103.1,L
27,169.5,76.0,98.5,M
49,164.8,60.6,93.5,S
21,157.9,57.3,87.2,XS
24,158.7,60.2,99.6,M
48,160.4,66.9,99.4,M
40,160.3,82.9,113.1,XL
37,171.2,76.5,96.6,M
37,162.8,67.1,90.8,S
48,152.0,58.9,98.5,M
23,164.0,61.5,89.6,XS
23,161.6,52.9,86.4,XS
32,168.4,84.7,109.5,L
29,164.9,59.6,89.0,XS
37,167.7,66.6,96.5,M
44,165.3,67.6,95.8,M
44,163.8,65.8,92.6,S
31,164.6,59.6,87.8,XS
26,161.9,73.5,95.1,M
24,153.0,55.6,85.8,XS
24,160.3,56.1,87.0,XS
20,168.0,56.0,87.5,XS
31,160.2,87.1,113.9,XL
22,144.7,73.6,106.4,L
21,162.7,61.3,92.3,S
24,159.4,50.5,86.1,XS
25,168.8,82.3,105.7,L
39,154.7,56.1,89.6,XS
28,162.1,75.4,99.1,M
28,162.5,59.3,90.4,S
49,159.7,69.5,98.1,M
27,160.2,82.0,104.6,L
32,161.4,58.3,95.2,M
30,174.3,92.0,106.7,L
23,160.3,84.1,110.5,L
30,157.6,84.2,119.6,XL
22,161.9,66.0,99.9,M
35,175.4,89.6,105.2,L
31,170.9,84.2,101.4,M
32,178.9,84.5,104.8,L
40,158.7,59.6,89.6,XS
29,168.7,68.8,94.3,S
26,166.5,69.0,89.9,XS
45,157.3,74.8,99.6,M
21,165.4,69.9,91.1,S
30,158.2,69.1,100.5,M
39,157.5,56.6,87.3,XS
18,160.0,69.9,97.6,M
24,158.4,46.8,83.4,XXS
39,153.5,70.1,98.6,M
37,159.3,83.2,106.2,L
20,158.3,78.9,100.4,M
29,160.8,59.2,89.6,XS
25,166.3,58.3,86.1,XS
27,160.9,74.6,95.1,M
19,151.3,42.8,77.2,XXS
22,170.4,85.3,103.4,L
27,170.8,66.4,89.9,XS
21,150.6,57.7,95.5,M
28,158.3,56.5,86.7,XS
42,173.1,71.4,97.1,M
22,166.9,76.2,96.6,M
21,164.0,55.6,80.0,XXS
25,161.3,56.1,81.2,XXS
29,164.0,64.1,94.6,S
40,158.1,76.6,100.8,M
36,166.4,70.2,97.1,M
44,156.2,56.1,91.8,S
27,172.2,81.2,98.7,M
27,156.4,72.5,96.9,M
29,158.9,68.6,97.9,M
28,178.9,92.4,101.7,M
26,160.8,66.2,105.8,L
35,159.5,56.2,88.7,XS
41,159.0,56.4,85.9,XS
40,157.5,65.3,98.0,M
52,153.9,67.9,103.7,L
29,165.4,77.7,98.4,M
25,161.6,63.2,95.9,M
33,164.6,69.7,98.8,M
47,154.8,68.1,90.0,S
20,161.7,57.0,82.7,XXS
23,152.7,74.2,108.9,L
23,165.3,58.9,89.5,XS
37,160.6,75.0,102.4,L
22,170.0,74.4,94.8,S
27,167.2,81.5,113.1,XL
26,172.8,76.5,98.8,M
22,167.7,82.7,109.8,L
33,179.0,79.3,103.3,L
29,164.3,73.5,96.0,M
24,158.4,62.0,95.5,M
34,158.3,65.9,102.3,L
30,164.0,70.5,100.0,M
22,156.2,49.3,86.6,XS
26,165.0,64.3,88.1,XS
23,165.6,65.4,95.0,M
19,162.4,65.5,102.0,L
36,163.1,85.6,115.9,XL
23,171.5,63.2,86.6,XS
24,160.7,64.8,90.8,S
27,160.0,60.4,88.3,XS
27,157.1,70.2,99.3,M
30,160.3,65.9,92.0,S
27,159.9,77.1,112.2,XL
29,160.2,52.4,82.9,XXS
21,164.2,68.5,92.5,S
32,171.5,101.7,109.6,L
39,163.4,48.7,86.2,XS
29,165.7,82.4,105.9,L
46,162.6,72.4,108.6,L
45,153.6,61.7,96.8,M
32,169.8,69.6,90.8,S
24,165.2,75.3,95.6,M
29,161.1,78.5,104.3,L
26,176.4,81.2,100.3,M
22,158.6,48.5,82.5,XXS
24,159.2,59.5,89.9,XS
25,178.2,74.0,95.8,M
32,170.8,79.9,102.8,L
26,165.0,64.5,95.7,M
29,161.2,72.5,100.7,M
27,166.0,60.0,84.2,XS
21,162.9,63.0,88.4,XS
19,163.0,76.2,99.2,M
20,174.3,69.6,91.3,S
34,168.8,81.8,115.2,XL
33,158.0,50.8,83.6,XXS
20,161.0,66.5,95.7,M
19,155.6,40.0,75.7,XXS
28,158.5,73.6,98.5,M
27,168.5,77.0,103.6,L
23,159.2,63.0,94.3,S
23,169.8,76.1,96.0,M
26,164.8,69.0,87.5,XS
21,157.5,57.3,87.9,XS
24,160.2,61.7,93.5,S
19,166.9,66.3,88.6,XS
27,163.7,85.0,101.8,M
21,169.0,60.1,92.9,S
24,166.4,65.5,93.5,S
30,171.0,71.6,93.2,S
26,159.6,61.1,90.6,S
30,165.6,100.0,115.0,XL
39,158.6,79.1,99.1,M
33,165.3,67.6,100.0,M
29,166.1,74.0,104.5,L
25,149.5,50.1,86.2,XS
34,163.3,58.7,90.0,S
30,165.2,69.6,97.6,M
33,159.6,59.9,89.9,XS
26,171.5,80.9,100.3,M
19,172.4,78.8,99.5,M
26,174.1,79.7,95.5,M
23,170.7,74.6,91.0,S
21,168.4,74.0,94.5,S
21,158.6,56.9,89.2,XS
26,161.1,82.9,106.6,L
43,165.8,77.0,104.0,L
31,167.3,75.1,98.0,M
35,177.0,88.9,110.0,L
46,157.4,66.1,87.2,XS
52,171.5,84.2,105.9,L
28,152.5,55.8,85.2,XS
24,165.0,98.3,114.2,XL
35,153.7,53.5,87.0,XS
40,156.8,58.1,88.0,XS
22,156.9,68.4,89.2,XS
34,171.1,72.5,95.7,M
23,163.9,75.7,107.0,L
38,163.8,73.3,96.2,M
25,175.6,70.4,93.0,S
32,161.8,59.0,89.5,XS
33,174.5,83.5,105.0,L
30,156.9,63.5,92.5,S
37,166.8,54.6,89.5,XS
23,161.9,61.0,89.5,XS
23,165.7,82.0,110.1,L
25,162.8,68.5,91.0,S
21,166.0,57.4,90.3,S
20,168.3,61.6,87.8,XS
22,167.2,67.8,84.6,XS
19,162.3,55.8,83.6,XXS
24,167.2,58.8,87.0,XS
24,161.9,59.1,86.9,XS
